,typesOrg,number,numberOrg
959,naval museum,1,1
960,national university | open-access publisher | public university,1,3
961,national university,1,1
962,national trade union center,1,1
963,national research university | open-access publisher,1,2
964,national museum | science museum | technology museum,1,3
965,national museum | numismatic collection,1,2
966,national museum,1,1
967,archaeological museum | national museum,1,2
968,archaeological museum | ethnographic museum | monument,1,3
969,archaeological museum | art museum | national museum,1,3
970,archaeological museum,1,1
971,open-access publisher | pontifical university | research university,1,3
972,online newspaper | radio station,1,2
973,online database | series | written work,1,3
974,normal school | public educational institution of the united states | university,1,3
975,normal school | open-access publisher | university,1,3
976,non-departmental public body | research council,1,2
977,newspaper | periodical,1,2
978,newspaper | organization,1,2
979,choral group | studentenverbindung,1,2
980,chinese-language internet encyclopedia | mediawiki instance | wiki with script conversion | wikipedia language edition,1,4
981,chartered company,1,1
982,charitable organization | organization,1,2
983,architectural landmark | building | national archives,1,3
984,chamber of deputies | chamber of parliament,1,2
985,central committee,1,1
986,census-designated place in the united states | land-grant university | open-access publisher | public educational institution of the united states | university,1,5
987,cegep,1,1
988,catholic university | pontifical university | private university,1,3
989,catholic university | pontifical university,1,2
990,catholic university | open-access publisher | private not-for-profit educational institution | private university,1,4
991,catholic university | open-access publisher,1,2
992,catholic theological faculty | seminary,1,2
993,architectural landmark | archive | national library | public library,1,4
994,architectural landmark | archive | film archive | medical check-up | photo library | state archives,1,6
995,architectural landmark | archive,1,2
996,architectural heritage monument | architectural structure | building | museum,1,4
997,architectural ensemble | museum | natural history museum,1,3
998,archaeological society | charitable organization | geolocatable entity | governing body | organization,1,5
999,organization | publishing company,1,2
1000,organization | public research university | public university | university of applied sciences | university of excellence,1,5
1001,organization | public association,1,2
1002,organization | private not-for-profit educational institution | school | university,1,4
1003,organization | political party wing,1,2
1004,organization | political party,1,2
1005,organization | political movement | women's organization,1,3
1006,organization | paramilitary organization,1,2
1007,organization established by the united nations,1,1
1008,opera company,1,1
1009,open-access publisher | public university | research institute,1,3
1010,open-access publisher | public university | publishing company,1,3
1011,open-access publisher | public research university | university in ontario,1,3
1012,open-access publisher | public research university | university in france,1,3
1013,open-access publisher | public educational institution | university,1,3
1014,open-access publisher | public educational institution of the united states | public university,1,3
1015,alcohol monopoly | business | state-owned enterprise,1,3
1016,aid agency | political organization,1,2
1017,aid agency | foundation | medical check-up,1,3
1018,aerospace manufacturer | automobile manufacturer | organization | public company | tractor brand,1,5
1019,advocacy group,1,1
1020,advice centre,1,1
1021,administration municipale of france,1,1
1022,academy | university,1,2
1023,academy | museum,1,2
1024,organization | study center,1,2
1025,organization | society,1,2
1026,organization | secret service,1,2
1027,organization | school | university,1,3
1028,organization | research institute,1,2
1029,organization | real property,1,2
1030,organization | q2955972,1,2
1031,organization | university in france,1,2
1032,organization | theatre company,1,2
1033,catholic theological faculty | faculty | former entity,1,3
1034,catholic theological faculty | faculty,1,2
1035,catholic seminary | religious building,1,2
1036,catholic school | gymnasium,1,2
1037,catholic school | educational institution,1,2
1038,catholic particular church sui iuris | eastern catholic churches,1,2
1039,catholic organization,1,1
1040,catholic order | hospitaller order | religious military order | subject of international law,1,4
1041,catholic archdiocese,1,1
1042,cathedral,1,1
1043,catalonia institute | school building,1,2
1044,catalogue | library | literary archive | literary museum,1,4
1045,altherrenverein | schülerverbindung | studentenverbindung,1,3
1046,altherrenverein | schülerverbindung,1,2
1047,private not-for-profit educational institution,1,1
1048,private educational institution in catalonia,1,1
1049,primary school | school | secondary school,1,3
1050,pressure group | private university | university of applied sciences,1,3
1051,pressure group,1,1
1052,prefecture,1,1
1053,postcard publishing company | publishing company,1,2
1054,pontifical academy,1,1
1055,political party committee,1,1
1056,political movement,1,1
1057,photo agency,1,1
1058,patrimonial administration | public service,1,2
1059,paramilitary organization,1,1
1060,organization | établissement public,1,2
1061,organization | école normale supérieure,1,2
1062,organization | youth organisation | zionist youth movement,1,3
1063,boarding school | high school | school,1,3
1064,campus university,1,1
1065,public educational institution of the united states | public research university | university campus,1,3
1066,academy | former entity,1,2
1067,academy school | secondary school,1,2
1068,academy school | girls' school | grammar school | secondary school,1,4
1069,academy school | boarding school | secondary school | upper school,1,4
1070,academy school | boarding school | secondary school,1,3
1071,academy school | boarding school | boys' school | grammar school | secondary school,1,5
1072,academy of sciences | organization,1,2
1073,public association,1,1
1074,public archive,1,1
1075,public administration of france | q2997700,1,2
1076,protestant faculty of theology,1,1
1077,private not-for-profit educational institution | women's college,1,2
1078,private not-for-profit educational institution | research institute | school | university,1,4
1079,public educational institution of the united states | vocational school,1,2
1080,public educational institution of the united states | public university | university | university building,1,4
1081,public educational institution of the united states | public university | school,1,3
1082,broadcasting board,1,1
1083,broadcaster | production company,1,2
1084,broadcaster,1,1
1085,brick and mortar | department store | enterprise | organization,1,4
1086,botanical garden | region,1,2
1087,botanical garden | national museum | natural history museum,1,3
1088,booster club | charitable corporation,1,2
1089,book publisher,1,1
1090,boarding school | university-preparatory school,1,2
1091,boarding school | public school | secondary school,1,3
1092,boarding school | medical check-up,1,2
1093,boarding school | independent school | school building,1,3
1094,boarding school | independent school | school,1,3
1095,business | railway company,1,2
1096,business | news agency,1,2
1097,business | former entity | news agency | photo agency,1,4
1098,business | camera manufacturer | enterprise | holding company | public company,1,5
1099,business school | graduate school,1,2
1100,business school | educational institution | private university,1,3
1101,building | spanish regional parliament | unicameral legislature,1,3
1102,building | school,1,2
1103,building | national archives | open-access publisher,1,3
1104,building | major seminary,1,2
1105,academy of sciences | learned society | national academy | open-access publisher,1,4
1106,academy of sciences | language regulator,1,2
1107,academy of sciences | international organization,1,2
1108,public library | research library,1,2
1109,public library,1,1
1110,public educational institution | university of applied sciences,1,2
1111,regional archive | state archives,1,2
1112,regional archive,1,1
1113,record label,1,1
1114,radio propaganda | radio station,1,2
1115,q61415303,1,1
1116,q56377753,1,1
1117,q4151355,1,1
1118,q2860567,1,1
1119,q15119463,1,1
1120,q125142912,1,1
1121,public university | university of excellence,1,2
1122,public school | upper secondary school in norway,1,2
1123,public school | secondary school | établissement public local d'enseignement,1,3
1124,public research university | university in manitoba,1,2
1125,academy of sciences | learned society | national academy | open-access publisher | organization | publishing company,1,6
1126,cadet corps,1,1
1127,school | vocational school | wirtschaftsgymnasium,1,3
1128,school | state university system,1,2
1129,school center,1,1
1130,rural district of schleswig-holstein,1,1
1131,rural district of north rhine-westphalia,1,1
1132,rural district of baden-württemberg,1,1
1133,roman catholic metropolitan archdiocese,1,1
1134,resistance movement,1,1
1135,academy of fine arts | czech research institution | publishing company | university building,1,4
1136,academy of fine arts,1,1
1137,academic publisher | publishing company | scientific society,1,3
1138,academic publisher | open-access publisher | public university | research institute,1,4
1139,academic publisher | honor society | learned society | organization,1,4
1140,research institute | transgender organization,1,2
1141,religious school | school,1,2
1142,religious school,1,1
1143,academic institution | faculty of law,1,2
1144,zapovednik,1,1
1145,youth organisation,1,1
1146,written work,1,1
1147,academic publisher | academy | public university,1,3
1148,academic library | open-access publisher,1,2
1149,academic library | national library,1,2
1150,academic library | library network | publishing company,1,3
1151,academic library | library branch,1,2
1152,academic library | library,1,2
1153,statutory corporation,1,1
1154,state university system,1,1
1155,state government,1,1
1156,state agency of the united states | state archives,1,2
1157,specialized library,1,1
1158,spanish association,1,1
1159,unibuc faculty,1,1
1160,type of educational institution | type of roman catholic institution,1,2
1161,type of educational institution,1,1
1162,training course,1,1
1163,technology park,1,1
1164,teacher training institute,1,1
1165,swedish government agency,1,1
1166,supreme court | tribunal of the roman curia,1,2
1167,study center,1,1
1168,academic publisher | catholic university | open-access publisher | private not-for-profit educational institution | private university,1,5
1169,verwaltungshochschule,1,1
1170,university press,1,1
1171,university art museum,1,1
1172,academic journal,1,1
1173,academic institution | faculty | philosophy faculty,1,3
1174,academic institution | faculty | higher education institution,1,3
