,uriOrg,labelOrg,typesOrg,orgMainType,tot_members_number
1119,http://www.wikidata.org/entity/Q2822249,Académie delphinale,learned society,learned society,3
440,http://www.wikidata.org/entity/Q1411222,George Mason University,public educational institution of the united states | university,university,3
1151,http://www.wikidata.org/entity/Q283349,Royal Library of Madrid,main library | national library,not classified organisation,3
1616,http://www.wikidata.org/entity/Q432637,George Washington University,open-access publisher | private not-for-profit educational institution | private university | research university,private university,3
2367,http://www.wikidata.org/entity/Q9346164,Stowarzyszenie Archiwistów Polskich,association,not classified organisation,3
1424,http://www.wikidata.org/entity/Q3487772,"Société d'agriculture, commerce, sciences et arts de la Marne",learned society,learned society,3
143,http://www.wikidata.org/entity/Q1138384,University of Mississippi,public educational institution of the united states | public university | research university,public university,3
886,http://www.wikidata.org/entity/Q20808141,University of Strasbourg,university,university,3
763,http://www.wikidata.org/entity/Q185246,Uppsala University,swedish government agency | university,university,3
1561,http://www.wikidata.org/entity/Q414760,Akademische Verbindung Igel Tübingen,q1265246 | studentenverbindung,not classified organisation,3
1437,http://www.wikidata.org/entity/Q3488097,Société des antiquaires de Normandie,learned society,learned society,3
1623,http://www.wikidata.org/entity/Q435395,Alte Breslauer Burschenschaft der Raczeks,burschenschaft,not classified organisation,3
802,http://www.wikidata.org/entity/Q193510,University of Padua,university,university,3
1661,http://www.wikidata.org/entity/Q459620,German Academy for Language and Literature,learned society | voluntary association,learned society,3
1552,http://www.wikidata.org/entity/Q414163,Academy of Sciences and Literature Mainz,academy of sciences | organization | public research university,university,3
150,http://www.wikidata.org/entity/Q114415725,Scuola Normale Superiore. Classe di Lettere e Filosofia,academic department,university,3
864,http://www.wikidata.org/entity/Q2032536,Pontifical Urbaniana University,pontifical university,university,3
1449,http://www.wikidata.org/entity/Q3488557,"Société nivernaise des lettres, sciences et arts",learned society,learned society,3
794,http://www.wikidata.org/entity/Q192088,Eton College,boarding school | boys' school | independent school | public school,educational institution,3
2099,http://www.wikidata.org/entity/Q700570,National Committee for a Free Germany,organization,not classified organisation,3
1468,http://www.wikidata.org/entity/Q35794,University of Cambridge,collegiate university | educational organization | organization | public research university,university,3
1651,http://www.wikidata.org/entity/Q4504293,Central State Archives of Higher Authorities and Governance of Ukraine,archive,not classified organisation,3
2379,http://www.wikidata.org/entity/Q9379652,Law Faculty of Lviv University,faculty of law,university,3
574,http://www.wikidata.org/entity/Q1575786,Royal Czech Society of Sciences,learned society | organization,learned society,3
17,http://www.wikidata.org/entity/Q1024426,University of South Carolina,public educational institution of the united states | public university | research university,public university,3
586,http://www.wikidata.org/entity/Q159895,University of Rostock,comprehensive university | public university,public university,3
808,http://www.wikidata.org/entity/Q1939211,Mississippi State University,land-grant university | open-access publisher | public educational institution of the united states | public university | research university,public university,3
840,http://www.wikidata.org/entity/Q19900491,Dortmund City Archive,municipal archive | publishing company,company or gov. agency,3
1475,http://www.wikidata.org/entity/Q3626575,Italian Library Association,open-access publisher | organization | publishing company | voluntary association,company or gov. agency,3
1941,http://www.wikidata.org/entity/Q60650497,"Department of Statistical Sciences, Sapienza University of Rome",academic department,university,3
239,http://www.wikidata.org/entity/Q1201549,Detroit Institute of Arts,art museum | medical check-up | movie theater | museum | performing arts center,scientific organisation,3
565,http://www.wikidata.org/entity/Q1566557,Russian State Archive of Socio-Political History,archive,not classified organisation,3
1491,http://www.wikidata.org/entity/Q371522,University of Gothenburg,open-access publisher | swedish government agency | university,university,3
1505,http://www.wikidata.org/entity/Q378134,UCLouvain,academic publisher | catholic university | educational institution | organization,university,3
1625,http://www.wikidata.org/entity/Q4360209,The Imperial Saint Petersburg Archaeological Institute,higher education institution,educational institution,3
906,http://www.wikidata.org/entity/Q2107174,Poznań Society of Friends of Learning,learned society | scientific society,learned society,3
1582,http://www.wikidata.org/entity/Q4204528,MSU Faculty of History,faculty | faculty of history,university,3
32,http://www.wikidata.org/entity/Q1041737,Carleton University,corporation | museum | open-access publisher | university in ontario,university,3
2196,http://www.wikidata.org/entity/Q776223,University of Montpellier,university in france,university,3
2223,http://www.wikidata.org/entity/Q790029,Bangor University,academic institution | public university,public university,3
1693,http://www.wikidata.org/entity/Q4793570,National Archives of Norway,archive | national archives,not classified organisation,3
96,http://www.wikidata.org/entity/Q111192248,Königlich Sächsischer Altertumsverein,historical society,learned society,3
583,http://www.wikidata.org/entity/Q159630,Chemnitz University of Technology,public university | university of applied sciences,public university,3
2193,http://www.wikidata.org/entity/Q774570,Bibliothèque Mazarine,library,not classified organisation,3
898,http://www.wikidata.org/entity/Q21015794,Lancashire Parish Register Society,organization,not classified organisation,3
1967,http://www.wikidata.org/entity/Q617433,Syracuse University,501(c)(3) organization | group of structures or buildings | private not-for-profit educational institution | private university | research university,private university,3
596,http://www.wikidata.org/entity/Q16167939,State Archives of Genoa,state archive,not classified organisation,3
782,http://www.wikidata.org/entity/Q188112,National Museum in Prague,czech research institution | museum | national museum | publishing company,research organisation,3
1397,http://www.wikidata.org/entity/Q337580,"Royal Academy of Science, Letters and Fine Arts of Belgium",national academy,scientific organisation,3
1679,http://www.wikidata.org/entity/Q469210,Deutschvölkischer Schutz und Trutzbund,organization,not classified organisation,3
251,http://www.wikidata.org/entity/Q12044523,"Faculty of Education, Charles University",open-access publisher | school of education,educational institution,3
793,http://www.wikidata.org/entity/Q191583,Royal Swedish Academy of Sciences,academy of sciences | building | national academy | swedish royal academies,academy of sciences,3
1960,http://www.wikidata.org/entity/Q61057329,Rhineland Architectural Forum,club,not classified organisation,3
758,http://www.wikidata.org/entity/Q182973,University of Iowa,public educational institution of the united states | public research university | university,university,3
326,http://www.wikidata.org/entity/Q1245999,University of Siena,archive | open-access publisher | university,university,3
327,http://www.wikidata.org/entity/Q1247135,Universidad Carlos III de Madrid,open-access publisher | organization | public university | university,public university,3
1966,http://www.wikidata.org/entity/Q616905,University of Augsburg,comprehensive university | public university,public university,3
2364,http://www.wikidata.org/entity/Q931502,Order of Isabella the Catholic,civil decoration | order,not classified organisation,3
829,http://www.wikidata.org/entity/Q19672898,Prague City Archives,municipal archive | publishing company,company or gov. agency,2
819,http://www.wikidata.org/entity/Q19606443,Departmental archives of Côte-d'Or,departmental archives,not classified organisation,2
7,http://www.wikidata.org/entity/Q101834499,Universität Erfurt Philosophische Fakultät,academic department,university,2
1040,http://www.wikidata.org/entity/Q2533492,Vorarlberg State Archive,archive | public archive | state archives,not classified organisation,2
826,http://www.wikidata.org/entity/Q19606463,Departmental archives of Lot,departmental archives,not classified organisation,2
1004,http://www.wikidata.org/entity/Q24034665,"The Historical Library, University of Salamanca",academic library,not classified organisation,2
695,http://www.wikidata.org/entity/Q1729754,German University in Prague,university,university,2
1007,http://www.wikidata.org/entity/Q2406894,Departmental archives of Marne,departmental archives,not classified organisation,2
1035,http://www.wikidata.org/entity/Q2514700,Q2514700,medical check-up,not classified organisation,2
685,http://www.wikidata.org/entity/Q1718148,Katholischer Studentenverein Arminia Bonn,"studentenverbindung, catholic",not classified organisation,2
1,http://www.wikidata.org/entity/Q100992929,Charles Sturt University - Wagga Wagga Campus,university campus,university,2
1017,http://www.wikidata.org/entity/Q246887,Pontifical University of Saint Thomas Aquinas,pontifical university,university,2
686,http://www.wikidata.org/entity/Q1718150,Katholischer Studentenverein Askania-Burgundia Berlin,"medical check-up | studentenverbindung, catholic",not classified organisation,2
694,http://www.wikidata.org/entity/Q1726607,Swedish History Museum,history museum | national museum,scientific organisation,2
1023,http://www.wikidata.org/entity/Q24934777,Fondazione Istituto Gramsci,archive | onlus,not classified organisation,2
2316,http://www.wikidata.org/entity/Q870192,Herder Institute,research institute,research organisation,2
717,http://www.wikidata.org/entity/Q17592548,Marchivum,archive,not classified organisation,2
831,http://www.wikidata.org/entity/Q19675,Louvre Museum,archaeological museum | art museum,scientific organisation,2
1024,http://www.wikidata.org/entity/Q2496149,University of Reims,open-access publisher | university in france,university,2
651,http://www.wikidata.org/entity/Q167733,Barnard College,liberal arts college | private not-for-profit educational institution,educational institution,2
804,http://www.wikidata.org/entity/Q19362514,Bern city archives,archive | memory institution | municipal archive,not classified organisation,2
806,http://www.wikidata.org/entity/Q193727,Johns Hopkins University,open-access publisher | private not-for-profit educational institution | research institute | university,university,2
653,http://www.wikidata.org/entity/Q1682433,Jan van Eyck Academie,art academy | building | open-access publisher,educational institution,2
1025,http://www.wikidata.org/entity/Q2496275,Tübingen University Archives,university archive,university,2
690,http://www.wikidata.org/entity/Q17189711,Departmental archives of Meurthe-et-Moselle,departmental archives,not classified organisation,2
1033,http://www.wikidata.org/entity/Q2513896,Verband Deutscher Archivarinnen und Archivare,archives association,not classified organisation,2
1014,http://www.wikidata.org/entity/Q24543,Pompeu Fabra University,public university,public university,2
942,http://www.wikidata.org/entity/Q221645,Stockholm University,organization | swedish government agency | university,university,2
2329,http://www.wikidata.org/entity/Q89521785,Q89521785,government agency,company or gov. agency,2
745,http://www.wikidata.org/entity/Q1802099,North Rhine-Westphalia State Archives Westphalia Division,archive,not classified organisation,2
879,http://www.wikidata.org/entity/Q2067315,University of Cagliari,archive | open-access publisher | public university,public university,2
2401,http://www.wikidata.org/entity/Q958769,National Academy of Sciences of Ukraine,academy of sciences | building | language regulator | open-access publisher,academy of sciences,2
894,http://www.wikidata.org/entity/Q2096524,Ulster University,university,university,2
2334,http://www.wikidata.org/entity/Q9008649,Institución Fernando el Católico,cultural institution,not classified organisation,2
661,http://www.wikidata.org/entity/Q16933227,Historic Society of Lancashire and Cheshire,historical society,learned society,2
936,http://www.wikidata.org/entity/Q219563,University of Washington,public university,public university,2
932,http://www.wikidata.org/entity/Q2185607,Koninklijke Vereniging van Archivarissen in Nederland,association | organization,not classified organisation,2
929,http://www.wikidata.org/entity/Q217439,University of Hawaiʻi System,open-access publisher | state university system | university,university,2
974,http://www.wikidata.org/entity/Q2324720,Saxony State Archives Leipzig,archive,not classified organisation,2
923,http://www.wikidata.org/entity/Q21592577,Aix-Marseille University (1896-1971),university in france,university,2
2345,http://www.wikidata.org/entity/Q9075933,Seminario Conciliar de Barcelona,seminary,not classified organisation,2
902,http://www.wikidata.org/entity/Q21040630,Marburger Wingolf,studentenverbindung,not classified organisation,2
9,http://www.wikidata.org/entity/Q1021824,École normale supérieure William Ponty,normal school,educational institution,2
907,http://www.wikidata.org/entity/Q2109311,Q2109311,educational institution,educational institution,2
918,http://www.wikidata.org/entity/Q214654,Sorbonne,higher education institution | school building,educational institution,2
909,http://www.wikidata.org/entity/Q2119752,University of Urbino,open-access publisher | university,university,2
910,http://www.wikidata.org/entity/Q2120763,State Archives of Belgium,federal scientific institute | national archives,research organisation,2
913,http://www.wikidata.org/entity/Q213439,University of Virginia,public educational institution of the united states | public research university,university,2
915,http://www.wikidata.org/entity/Q213678,Vatican Library,departments of the roman curia | national library | office of the roman curia,not classified organisation,2
753,http://www.wikidata.org/entity/Q1815509,Leipzig Fraternity Germania,burschenschaft | q1810925,not classified organisation,2
928,http://www.wikidata.org/entity/Q2170763,Stadsarchief Amsterdam,municipal archive | museum,scientific organisation,2
727,http://www.wikidata.org/entity/Q1778321,Moscow State Pedagogical University,public university | university,public university,2
998,http://www.wikidata.org/entity/Q238101,University of Minnesota,land-grant university | open-access publisher | production company | public educational institution of the united states | public research university | school,university,2
2428,http://www.wikidata.org/entity/Q995265,Bryn Mawr College,cemetery | private not-for-profit educational institution | university | women's college,university,2
730,http://www.wikidata.org/entity/Q1780816,State University of New York at Albany,public educational institution of the united states | public university,public university,2
990,http://www.wikidata.org/entity/Q2363183,Sudetendeutsche Akademie der Wissenschaften und Künste,academy of sciences | national academy,academy of sciences,2
989,http://www.wikidata.org/entity/Q235034,University of Pittsburgh,open-access publisher | private university | public educational institution of the united states | public–private partnership | research university,private university,2
986,http://www.wikidata.org/entity/Q2339154,Styrian state archive,archive | monastery,not classified organisation,2
2424,http://www.wikidata.org/entity/Q991872,Eszterházy Károly Catholic University,ecclesiastical university,university,2
2421,http://www.wikidata.org/entity/Q98716574,Société des études rabelaisiennes,literary society,learned society,2
832,http://www.wikidata.org/entity/Q1967977,National Academy of Sciences of Belarus,academy of sciences | building of public administration,academy of sciences,2
977,http://www.wikidata.org/entity/Q2324767,"Niedersächsisches Landesarchiv, Abteilung Wolfenbüttel",state archives,not classified organisation,2
2402,http://www.wikidata.org/entity/Q958886,Yaroslavl State University,flagship university | higher education in russia | open-access publisher,university,2
736,http://www.wikidata.org/entity/Q179501,Pontifical University of Salamanca,open-access publisher | pontifical university | private university,private university,2
776,http://www.wikidata.org/entity/Q1872239,Louisiana Tech University,public educational institution of the united states | university,university,2
851,http://www.wikidata.org/entity/Q200601,Pontifical Catholic University of Peru,catholic university | open-access publisher | pontifical university | private university | research institute,private university,2
16,http://www.wikidata.org/entity/Q1024181,Pushkin House,facility | institute | institute of the russian academy of sciences | museum,academy of sciences,2
673,http://www.wikidata.org/entity/Q17109505,Maryland State Archives,archive | state agency of the united states,not classified organisation,2
857,http://www.wikidata.org/entity/Q202042,Euskaltzaindia,database | language regulator,not classified organisation,2
741,http://www.wikidata.org/entity/Q180,Wikimedia Foundation,charitable organization | medical check-up,not classified organisation,2
861,http://www.wikidata.org/entity/Q2027201,Maxim Tank Belarusian State Pedagogical University,university,university,2
2412,http://www.wikidata.org/entity/Q972938,Pontifical Ecclesiastical Academy,dicastery | roman college,educational institution,2
2409,http://www.wikidata.org/entity/Q967165,University of York,public university,public university,2
744,http://www.wikidata.org/entity/Q1802098,North Rhine-Westphalia State Archives Rhineland Division,archive,not classified organisation,2
946,http://www.wikidata.org/entity/Q222738,National Autonomous University of Mexico,open-access publisher | public research university | university,university,2
846,http://www.wikidata.org/entity/Q19952814,"Académie des sciences, agriculture, arts et belles-lettres d'Aix",learned society,learned society,2
1587,http://www.wikidata.org/entity/Q42276384,Belrestavratsia,organization,not classified organisation,2
1599,http://www.wikidata.org/entity/Q4304039,Moscow Archaeological Institute,university,university,2
1601,http://www.wikidata.org/entity/Q4304150,Moscow Institute of Oriental Studies,academic institution,educational institution,2
1614,http://www.wikidata.org/entity/Q432475,University of Canterbury,open-access publisher | university,university,2
1615,http://www.wikidata.org/entity/Q4325461,Novosibirsk State Pedagogical University,university,university,2
1640,http://www.wikidata.org/entity/Q4481734,Federal Archival Agency,archive | executive branch | federal agency | government agency,company or gov. agency,2
1641,http://www.wikidata.org/entity/Q4484261,Faculty of Philology of the Belarusian State University,faculty | faculty of humanities,university,2
1657,http://www.wikidata.org/entity/Q457281,University of Illinois Urbana–Champaign,land-grant university | public educational institution of the united states | public research university | university,university,2
1663,http://www.wikidata.org/entity/Q461,Internet Archive,digital library | medical check-up | web archive | website,not classified organisation,2
650,http://www.wikidata.org/entity/Q1674868,"Istituto Veneto di Scienze, Lettere ed Arti",archive | scientific society,scientific organisation,2
1680,http://www.wikidata.org/entity/Q4705241,Alabama Department of Archives and History,archive | museum,scientific organisation,2
1684,http://www.wikidata.org/entity/Q475007,Pontifical Lateran University,pontifical university,university,2
1687,http://www.wikidata.org/entity/Q47538062,Comité d'histoire de la ville de Paris,organization,not classified organisation,2
1697,http://www.wikidata.org/entity/Q4810144,"Association of the Polish Youth ""Zet""",student society,learned society,2
2089,http://www.wikidata.org/entity/Q695302,German Archaeological Institute,federal agency of germany | research institute,research organisation,2
1719,http://www.wikidata.org/entity/Q49110,Boston University,open-access publisher | private not-for-profit educational institution | university,university,2
1721,http://www.wikidata.org/entity/Q49114,Brown University,academic publisher | colonial colleges | private not-for-profit educational institution | private university | research university,private university,2
1722,http://www.wikidata.org/entity/Q49115,Cornell University,land-grant university | private not-for-profit educational institution | private university | research university | sun grant institution,private university,2
1734,http://www.wikidata.org/entity/Q492766,N. I. Lobachevsky State University of Nizhny Novgorod,national research university,university,2
1741,http://www.wikidata.org/entity/Q49738,German Academy of Sciences at Berlin,academy of sciences | educational institution | research institute,educational institution,2
2093,http://www.wikidata.org/entity/Q6970130,National Academy of History of Argentina,organization,not classified organisation,2
1476,http://www.wikidata.org/entity/Q3626639,Associazione Nazionale Archivistica Italiana,organization,not classified organisation,2
1478,http://www.wikidata.org/entity/Q3646646,Belarusian State University of Culture and Arts,university,university,2
1483,http://www.wikidata.org/entity/Q368643,University of Coimbra,open-access publisher | organization | public university,public university,2
2147,http://www.wikidata.org/entity/Q734764,University of New South Wales,production company | public research university | research institute,university,2
1492,http://www.wikidata.org/entity/Q371625,Brooklyn College,college | public educational institution of the united states,educational institution,2
1494,http://www.wikidata.org/entity/Q37274490,École antique de Nîmes,learned society,learned society,2
2146,http://www.wikidata.org/entity/Q734324,TU Braunschweig,institute of technology | public university,institute of technology,2
1500,http://www.wikidata.org/entity/Q376279,National Archives of Hungary,archive | budget management department | national archives,not classified organisation,2
1507,http://www.wikidata.org/entity/Q3803707,Istituto Centrale per il Catalogo Unico,government agency | publishing company,company or gov. agency,2
1578,http://www.wikidata.org/entity/Q4204456,Institute of History and Archives,educational institution | institute,educational institution,2
2126,http://www.wikidata.org/entity/Q7209978,Polish Rifle Squads,organization,not classified organisation,2
1526,http://www.wikidata.org/entity/Q39628,Bibliothèque et Archives nationales du Québec,government agency | national archives | national library | public library,company or gov. agency,2
2123,http://www.wikidata.org/entity/Q7209884,Polish Central Archives of Historical Records,national archives,not classified organisation,2
1537,http://www.wikidata.org/entity/Q4070706,Archive RAS,scientific archive,not classified organisation,2
1545,http://www.wikidata.org/entity/Q4112333,Q4112333,organization,not classified organisation,2
2105,http://www.wikidata.org/entity/Q702499,Osnabrück University,public university,public university,2
1562,http://www.wikidata.org/entity/Q41506,Stanford University,open-access publisher | private not-for-profit educational institution | private university | research university,private university,2
1571,http://www.wikidata.org/entity/Q4201535,Institute of the History of Ukraine,higher education institution,educational institution,2
1573,http://www.wikidata.org/entity/Q4201575,Marx-Engels-Lenin Institute,architectural landmark | institute for marxism-leninism | publishing company | research institute,research organisation,2
1574,http://www.wikidata.org/entity/Q4201714,Institute of Russian History,educational institution | institute of the russian academy of sciences,educational institution,2
1515,http://www.wikidata.org/entity/Q3912134,Stadsarchief Rotterdam,municipal archive,not classified organisation,2
1921,http://www.wikidata.org/entity/Q5917707,Instituto San Isidro,building | ies,not classified organisation,2
1922,http://www.wikidata.org/entity/Q5918153,Instituto de Estudios Giennenses,institute | organization,research organisation,2
1925,http://www.wikidata.org/entity/Q592734,Vernadsky National Library of Ukraine,building | national library | open-access publisher | united nations depository library,company or gov. agency,2
1927,http://www.wikidata.org/entity/Q593321,University of Genoa,open-access publisher | university,university,2
1928,http://www.wikidata.org/entity/Q597758,University of Oldenburg,public university,public university,2
1930,http://www.wikidata.org/entity/Q598841,Monash University,open-access publisher | production company | public university,public university,2
1937,http://www.wikidata.org/entity/Q6040373,Institute of Historical Research,educational organization | library,not classified organisation,2
1940,http://www.wikidata.org/entity/Q60543638,Gyula Juhász Teacher Training College,college | school of education,educational institution,2
1942,http://www.wikidata.org/entity/Q60675796,Comité de l'art chrétien de Nîmes,learned society,learned society,2
1751,http://www.wikidata.org/entity/Q501758,University of Florida,land-grant university | open-access publisher | public educational institution of the united states | public research university | public university,public university,2
1950,http://www.wikidata.org/entity/Q60848734,Commission départementale des Antiquités de la Seine-Maritime,council,not classified organisation,2
2054,http://www.wikidata.org/entity/Q673354,University of St. Gallen,public university | research university,public university,2
2039,http://www.wikidata.org/entity/Q666410,Finnish Academy of Science and Letters,academy of sciences | national academy | open-access publisher,academy of sciences,2
1998,http://www.wikidata.org/entity/Q637099,Jan Evangelista Purkyně University in Ústí nad Labem,czech research institution | publishing company | university,university,2
1999,http://www.wikidata.org/entity/Q6373,British Museum,art museum | museum | national museum | non-departmental public body,scientific organisation,2
2005,http://www.wikidata.org/entity/Q640694,University of Alberta,autonomous university | comprehensive academic and research university | corporation | open-access publisher | public research university,university,2
2014,http://www.wikidata.org/entity/Q649998,University of Nairobi,public university,public university,2
2019,http://www.wikidata.org/entity/Q65354555,State Archive of the Minsk Region,archive | organization,not classified organisation,2
2023,http://www.wikidata.org/entity/Q658192,Vilnius University,business | open-access publisher | public university,public university,2
2031,http://www.wikidata.org/entity/Q661056,University of Poitiers,open-access publisher | university in france,university,2
1949,http://www.wikidata.org/entity/Q60847503,Institute of Archival Science,institute,research organisation,2
1757,http://www.wikidata.org/entity/Q503415,University of Maryland,land-grant university | public educational institution of the united states | public research university | publishing company,university,2
1764,http://www.wikidata.org/entity/Q50824419,Haut comité des commémorations nationales,organization,not classified organisation,2
1787,http://www.wikidata.org/entity/Q51985,Technische Universität Berlin,institute of technology | public research university | university of excellence,institute of technology,2
1788,http://www.wikidata.org/entity/Q52109860,ELTE Faculty of Humanities,faculty,university,2
1790,http://www.wikidata.org/entity/Q52413,University of Kansas,open-access publisher | public educational institution of the united states | public research university | publishing company,university,2
1801,http://www.wikidata.org/entity/Q5290854,Dominican University,catholic university | private not-for-profit educational institution | university,university,2
1807,http://www.wikidata.org/entity/Q533235,Ateneo de Manila University,jesuit university | private university | research university,private university,2
1809,http://www.wikidata.org/entity/Q534515,University of Indonesia,open-access publisher | public university | university,public university,2
1820,http://www.wikidata.org/entity/Q538452,Babeș-Bolyai University,open-access publisher | research university | university,university,2
1909,http://www.wikidata.org/entity/Q5854915,Facultad de Filosofía y Letras (Universidad de Granada),faculty | philosophy faculty,university,2
1840,http://www.wikidata.org/entity/Q54636570,Société des amis des Archives de France,archive association | association under the french law of 1901,not classified organisation,2
1846,http://www.wikidata.org/entity/Q5503369,Ysgol Friars,architectural structure | secondary school,educational institution,2
2071,http://www.wikidata.org/entity/Q683095,Warburg Institute,academic institution | organization,educational institution,2
1861,http://www.wikidata.org/entity/Q56457826,Australian Society of Archivists,professional association,not classified organisation,2
1864,http://www.wikidata.org/entity/Q5655719,National Academy of History of Venezuela,academy | institution,learned society,2
1868,http://www.wikidata.org/entity/Q56709687,Q56709687,faculty | faculty of humanities,university,2
1872,http://www.wikidata.org/entity/Q568554,University of Caen Normandy,public university | university in france,public university,2
1902,http://www.wikidata.org/entity/Q579968,University of Missouri,land-grant university | public educational institution of the united states | public research university,university,2
1907,http://www.wikidata.org/entity/Q58491737,Q58491737,felibrean school | learned society,learned society,2
2058,http://www.wikidata.org/entity/Q67640204,Asociación de Archiveros de la Iglesia de España,professional association | voluntary association,not classified organisation,2
2079,http://www.wikidata.org/entity/Q68780803,"AIB National Commission for special collections, archives and author libraries",council,not classified organisation,2
1143,http://www.wikidata.org/entity/Q2822402,Academy of Morvan,learned society,learned society,2
1146,http://www.wikidata.org/entity/Q2822422,Académie Internationale d'Héraldique,international organization,not classified organisation,2
1147,http://www.wikidata.org/entity/Q2822435,Académie nationale de Metz,learned society,learned society,2
1164,http://www.wikidata.org/entity/Q2860433,Archives de l'État de Neuchâtel,cantonal archive | memory institution,not classified organisation,2
1166,http://www.wikidata.org/entity/Q2860452,Diplomatic Archives,archive,not classified organisation,2
1170,http://www.wikidata.org/entity/Q2860475,Departmental archives of Eure,departmental archives,not classified organisation,2
1174,http://www.wikidata.org/entity/Q2860494,Departmental archives of Lozère,departmental archives,not classified organisation,2
1177,http://www.wikidata.org/entity/Q2860503,Departmental archives of Alpes-de-Haute-Provence,departmental archives,not classified organisation,2
2270,http://www.wikidata.org/entity/Q830796,Order of Saint Lazarus,hospitaller order | order of chivalry | religious military order,not classified organisation,2
1474,http://www.wikidata.org/entity/Q3621657,State Archives of Modena,former convent | state archive | state archives,not classified organisation,2
1200,http://www.wikidata.org/entity/Q2869328,Ateneo de Madrid,athenaeum | organization,not classified organisation,2
2269,http://www.wikidata.org/entity/Q829449,Marie and Louis Pasteur University,higher education institution | public research university | public university | university in france,public university,2
1223,http://www.wikidata.org/entity/Q2894822,Real Academia de Bellas Artes de la Purísima Concepción,cultural institution | educational institution,educational institution,2
2265,http://www.wikidata.org/entity/Q82513,Merton College,college of the university of oxford | university building,university,2
1230,http://www.wikidata.org/entity/Q2912244,Paul-Valéry-Montpellier University,open-access publisher | university in france,university,2
1235,http://www.wikidata.org/entity/Q29388673,Institute of Parliamentarism and Entrepreneurship,educational institution,educational institution,2
1238,http://www.wikidata.org/entity/Q2945223,Centro de Estudios Históricos,institution | study center,not classified organisation,2
1258,http://www.wikidata.org/entity/Q2983698,Collège Stanislas de Paris,school,educational institution,2
2255,http://www.wikidata.org/entity/Q812155,Bavarian Academy of Fine Arts,academy | voluntary association,learned society,2
1269,http://www.wikidata.org/entity/Q2992066,Belarusian State University of Foreign Languages,university,university,2
1195,http://www.wikidata.org/entity/Q28667128,Imperial University of Warsaw,imperial university of the russian empire | university,university,2
1051,http://www.wikidata.org/entity/Q2557355,Université de Moncton,university,university,2
1056,http://www.wikidata.org/entity/Q258464,Trinity College Dublin,collegiate university | medical check-up,university,2
1065,http://www.wikidata.org/entity/Q262854,University of Lancaster,educational organization | higher education institution | open-access publisher | organization | public research university | university,university,2
2315,http://www.wikidata.org/entity/Q86993290,"Faculty of Letters of ""Alexandru Ioan Cuza"" University of Iași",faculty | graduate school,university,2
1080,http://www.wikidata.org/entity/Q270532,University of Aberdeen,public research university,university,2
1082,http://www.wikidata.org/entity/Q27166484,Société d'histoire contemporaine,learned society,learned society,2
2307,http://www.wikidata.org/entity/Q8618,Catholic University of Lyon,catholic university | private university,private university,2
1088,http://www.wikidata.org/entity/Q273482,École Normale de Musique de Paris Alfred Cortot,college of music | conservatory | school building,educational institution,2
2295,http://www.wikidata.org/entity/Q850730,University of Groningen,public research university,university,2
2274,http://www.wikidata.org/entity/Q833196,Unión General de Trabajadores,labor union | organization,not classified organisation,2
1096,http://www.wikidata.org/entity/Q273593,Beaux-Arts de Paris,art academy | grande école | museum,public university,2
2278,http://www.wikidata.org/entity/Q834219,Bolyai University,university,university,2
2277,http://www.wikidata.org/entity/Q833822,University of Kassel,public university,public university,2
1120,http://www.wikidata.org/entity/Q2822267,French Catholic Academy,medical check-up,not classified organisation,2
1125,http://www.wikidata.org/entity/Q2822330,Académie de Saintonge,learned society,learned society,2
1127,http://www.wikidata.org/entity/Q2822333,Académie de Vaucluse,organization,not classified organisation,2
1130,http://www.wikidata.org/entity/Q2822377,"Académie des belles-lettres, sciences et arts de La Rochelle",learned society,learned society,2
1134,http://www.wikidata.org/entity/Q2822386,"Académie des sciences, arts et belles-lettres de Caen",learned society,learned society,2
1135,http://www.wikidata.org/entity/Q2822387,"Académie nationale des sciences, belles-lettres et arts de Bordeaux",learned society,learned society,2
1138,http://www.wikidata.org/entity/Q2822390,"Académie des sciences, inscriptions et belles-lettres de Toulouse",learned society,learned society,2
2288,http://www.wikidata.org/entity/Q841581,Sofia University,open-access publisher | public university,public university,2
1385,http://www.wikidata.org/entity/Q333886,Georgetown University,catholic university | private not-for-profit educational institution | private university | research university,private university,2
1388,http://www.wikidata.org/entity/Q337234,Academia Europaea,academy | charitable organization | organization,research organisation,2
2192,http://www.wikidata.org/entity/Q774489,Somerville College,college of the university of oxford | university building,university,2
1398,http://www.wikidata.org/entity/Q3381488,Norwich School,independent school,educational institution,2
1407,http://www.wikidata.org/entity/Q3436286,Odense University,university,university,2
2168,http://www.wikidata.org/entity/Q7552352,Society of American Archivists,learned society | medical check-up | professional association | publishing company,learned society,2
2166,http://www.wikidata.org/entity/Q75149703,József Attila Gimnázium,high school,educational institution,2
1421,http://www.wikidata.org/entity/Q3487682,Société archéologique du Finistère,learned society,learned society,2
2161,http://www.wikidata.org/entity/Q748307,Lycée Charlemagne,educational facility,research facility,2
1275,http://www.wikidata.org/entity/Q3011938,Federal University of the State of Rio de Janeiro,open-access publisher | public university,public university,2
2160,http://www.wikidata.org/entity/Q748085,University of Perugia,university,university,2
2153,http://www.wikidata.org/entity/Q739627,Pennsylvania State University,open-access publisher | production company | public research university,university,2
1442,http://www.wikidata.org/entity/Q3488291,Société française d'héraldique et de sigillographie,learned society,learned society,2
