,uriOrg,labelOrg,typesOrg,orgMainType,tot_members_number
1290,http://www.wikidata.org/entity/Q3064325,Faculty of Arts of Paris,faculty,university,4
2344,http://www.wikidata.org/entity/Q9066988,Real Academia de Bellas Artes y Ciencias Históricas de Toledo,art academy,educational institution,4
1336,http://www.wikidata.org/entity/Q317053,University of Giessen,comprehensive university | public university,public university,4
1983,http://www.wikidata.org/entity/Q627969,University of Ottawa,open-access publisher | public research university | public university | research university | university in ontario,public university,4
506,http://www.wikidata.org/entity/Q1505035,Public Record Office,building | national archives,not classified organisation,4
752,http://www.wikidata.org/entity/Q1814503,University of Girona,open-access publisher | public university,public university,4
212,http://www.wikidata.org/entity/Q11909322,Universitat de Barcelona. Biblioteca,academic library | learning resource centre | library network,not classified organisation,4
2074,http://www.wikidata.org/entity/Q685753,German Federal Archives,cinematheque | higher federal authority | national archives,not classified organisation,4
761,http://www.wikidata.org/entity/Q1851014,Ural State University,building | defunct organization | former educational institution,educational institution,4
1730,http://www.wikidata.org/entity/Q49204,Smith College,private not-for-profit educational institution | university | women's college,university,4
613,http://www.wikidata.org/entity/Q1633215,University of Salerno,public university,public university,4
1814,http://www.wikidata.org/entity/Q536580,Vatican Apostolic Archives,church archive | national archives | office of the roman curia,not classified organisation,4
1867,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv,faculty,university,4
103,http://www.wikidata.org/entity/Q1115639,Franz Joseph University,university,university,4
192,http://www.wikidata.org/entity/Q11788656,Head Office of State Archives,government agency,company or gov. agency,4
712,http://www.wikidata.org/entity/Q1752716,University of Szczecin,public university,public university,4
1670,http://www.wikidata.org/entity/Q463303,American Academy of Arts and Sciences,academic publisher | learned society | medical check-up,learned society,4
1896,http://www.wikidata.org/entity/Q578023,University of Toulouse (1896-1968),university in france,university,4
1782,http://www.wikidata.org/entity/Q518155,National Archives and Records Administration,independent agency of the united states government | national archives,company or gov. agency,4
1777,http://www.wikidata.org/entity/Q51561066,Record Society of Lancashire and Cheshire,historical society | organization,learned society,4
1755,http://www.wikidata.org/entity/Q50259111,Société d'histoire religieuse de la France,editorial board | learned society | medical check-up,learned society,4
1890,http://www.wikidata.org/entity/Q574571,University of Regensburg,comprehensive university | public university,public university,4
767,http://www.wikidata.org/entity/Q18590549,Escuela Superior de Diplomática,school,educational institution,4
734,http://www.wikidata.org/entity/Q179036,The Catholic University of America,catholic university,university,4
1041,http://www.wikidata.org/entity/Q253439,Royal Netherlands Academy of Arts and Sciences,academic publisher | academy of sciences | national academy | zelfstandig bestuursorgaan,academy of sciences,4
705,http://www.wikidata.org/entity/Q174570,London School of Economics and Political Science,educational organization | higher education institution | public research university,university,4
13,http://www.wikidata.org/entity/Q102398197,"Faculty of Law, German University in Prague",faculty,university,4
246,http://www.wikidata.org/entity/Q12028998,Catholic Theological Faculty of Charles University,catholic theological faculty,university,4
221,http://www.wikidata.org/entity/Q1194988,Paris 8 University,"public scientific, cultural or professional establishment",not classified organisation,4
716,http://www.wikidata.org/entity/Q1758009,University of Gdańsk,open-access publisher | university,university,4
1337,http://www.wikidata.org/entity/Q317070,University of Mannheim,organization | public university,public university,3
