,personUri,personLabel,birthYear,gender,countries,continents,fields
4601,http://www.wikidata.org/entity/Q95121478,Vojtěch Fejlek,1923,male,Czechoslovakia,Europe,
4602,http://www.wikidata.org/entity/Q95435188,František Hříšný,1909,male,Czechoslovakia,Europe,
4603,http://www.wikidata.org/entity/Q23060001,Rik Opsommer,1962,male,Belgium,Europe,
4604,http://www.wikidata.org/entity/Q50059111,Ruth Ann Koesun,1928,female,United States,North America,
4605,http://www.wikidata.org/entity/Q26944938,August Burckhardt-Brandenberg,1896,male,Switzerland,Europe,
4606,http://www.wikidata.org/entity/Q113500664,Gerald Maier,1966,male,Germany,Europe,
4607,http://www.wikidata.org/entity/Q12317062,Holger Hjelholt,1887,male,Kingdom of Denmark,Europe,"archival science, history"
4608,http://www.wikidata.org/entity/Q51880233,Maria Habacher,1918,female,Austria,Europe,
4609,http://www.wikidata.org/entity/Q587038,André Antoine Thomas,1857,male,France,Europe,
4610,http://www.wikidata.org/entity/Q18249442,Jaroslav Charvát,1904,male,Czechoslovakia,Europe,
4611,http://www.wikidata.org/entity/Q2417989,Theodor Mayer,1883,male,"Austria, Germany",Europe,"medieval history, history"
4612,http://www.wikidata.org/entity/Q15945116,Robert Anchel,1880,male,France,Europe,
4613,http://www.wikidata.org/entity/Q111537641,Viktor Borodovčák,1926,male,"Czechoslovakia, Soviet Union, Slovakia","Europe, Asia","archival science, Slavic studies, history"
4614,http://www.wikidata.org/entity/Q42342808,Fabienne Le Bars,1967,female,France,Europe,
4615,http://www.wikidata.org/entity/Q95166061,Václav Ryneš,1909,male,Czechoslovakia,Europe,"historiography, history"
4616,http://www.wikidata.org/entity/Q62231301,Valérie Baud,1971,female,France,Europe,
4617,http://www.wikidata.org/entity/Q2363676,Karel Čáslavský,1937,male,Czech Republic,Europe,"opinion journalism, film"
4618,http://www.wikidata.org/entity/Q5240627,David Vaughan,1924,male,United States,North America,
4619,http://www.wikidata.org/entity/Q19971832,Bohumír Lifka,1900,male,Czechoslovakia,Europe,"history of literature, regional history, library science"
4620,http://www.wikidata.org/entity/Q104629336,Ángel de la Plaza Bores,1895,male,Spain,Europe,
4621,http://www.wikidata.org/entity/Q106845783,Erik Grill,1912,male,Sweden,Europe,
4622,http://www.wikidata.org/entity/Q16404989,Friedrich Nineve,1857,male,Estonia,Europe,
4623,http://www.wikidata.org/entity/Q55758671,Dieter Haase,1951,male,Germany,Europe,carom billiards
4624,http://www.wikidata.org/entity/Q35834722,Jean Humbert,1908,male,France,Europe,"journalism, palaeography"
4625,http://www.wikidata.org/entity/Q93239237,Helmut Gabel,1953,male,Germany,Europe,
4626,http://www.wikidata.org/entity/Q6229138,Claes Wahlöö,1939,male,Sweden,Europe,cultural history
4627,http://www.wikidata.org/entity/Q113785471,Kerstin Stockhecke,1964,female,Germany,Europe,
4628,http://www.wikidata.org/entity/Q56707515,Yves du Guerny,1933,male,France,Europe,
4629,http://www.wikidata.org/entity/Q126454002,Wanda Baczkowska,1936,female,Poland,Europe,
4630,http://www.wikidata.org/entity/Q3579729,Édouard Baratier,1923,male,France,Europe,"history of Provence, history of Marseilles"
4631,http://www.wikidata.org/entity/Q61477636,Leone Mattei Cerasoli,1880,male,"Italy, Kingdom of Italy",Europe,
4632,http://www.wikidata.org/entity/Q11947722,Sanç Capdevila,1883,male,Spain,Europe,
4633,http://www.wikidata.org/entity/Q12383079,Antonio Gil Merino,1916,male,Spain,Europe,
4634,http://www.wikidata.org/entity/Q1347054,Karl Raddatz,1904,male,German Democratic Republic,Europe,
4635,http://www.wikidata.org/entity/Q3850250,Martino Giusti,1905,male,"Italy, Kingdom of Italy",Europe,
4636,http://www.wikidata.org/entity/Q34998324,Lucien Broche,1877,male,France,Europe,
4637,http://www.wikidata.org/entity/Q2844690,Amédée Outrey,1892,male,France,Europe,
4638,http://www.wikidata.org/entity/Q6759450,Margaret Gowing,1921,female,United Kingdom,Europe,
4639,http://www.wikidata.org/entity/Q105478109,María Soledad Arribas González,1933,female,Spain,Europe,
4640,http://www.wikidata.org/entity/Q23794156,Werner Strecker,1885,male,German Democratic Republic,Europe,
4641,http://www.wikidata.org/entity/Q15437387,Siegfried Haider,1943,male,Austria,Europe,
4642,http://www.wikidata.org/entity/Q1403892,Joachim Wächter,1926,male,Germany,Europe,"archival science, regional history"
4643,http://www.wikidata.org/entity/Q1555640,Gustav Beckmann,1864,male,Germany,Europe,history
4644,http://www.wikidata.org/entity/Q61999071,Palmira Villa González-Río,1913,female,Spain,Europe,
4645,http://www.wikidata.org/entity/Q119820427,Francesca Sardi,1967,female,Italy,Europe,
4646,http://www.wikidata.org/entity/Q116158513,Pierre Hannick,1940,male,Belgium,Europe,
4647,http://www.wikidata.org/entity/Q3085002,François de Vaux de Foletier,1893,male,France,Europe,
4648,http://www.wikidata.org/entity/Q11868064,Jussi Nuorteva,1954,male,Finland,Europe,
4649,http://www.wikidata.org/entity/Q104844998,Carlos Martín Fernández,1901,male,Spain,Europe,
4650,http://www.wikidata.org/entity/Q1544212,Lajos Kemény,1859,male,"Czechoslovakia, Hungary",Europe,
4651,http://www.wikidata.org/entity/Q42303289,Édouard Vasseur,1976,male,France,Europe,
4652,http://www.wikidata.org/entity/Q95077750,Čeněk Houba,1857,male,Czechoslovakia,Europe,
4653,http://www.wikidata.org/entity/Q1730890,Karl Ernst Demandt,1909,male,Germany,Europe,
4654,http://www.wikidata.org/entity/Q42310239,Vivien Richard,1987,male,France,Europe,
4655,http://www.wikidata.org/entity/Q6476453,Britta Günther,1970,female,Germany,Europe,
4656,http://www.wikidata.org/entity/Q72507,Adalbert Bezzenberger,1851,male,Germany,Europe,
4657,http://www.wikidata.org/entity/Q93268896,Daniela Rava,1961,female,Italy,Europe,
4658,http://www.wikidata.org/entity/Q12378854,Voldemar Miller,1911,male,Estonia,Europe,
4659,http://www.wikidata.org/entity/Q95472394,Radomír Ševčík,1957,male,Czechoslovakia,Europe,archival science
4660,http://www.wikidata.org/entity/Q6494838,Q6494838,1966,male,Belarus,Europe,history
4661,http://www.wikidata.org/entity/Q18226209,Henryk Lesiński,1923,male,Poland,Europe,"medieval studies, archival science"
4662,http://www.wikidata.org/entity/Q1579647,Ulrich Soénius,1962,male,Germany,Europe,"cultural policy, regional history, archival science"
4663,http://www.wikidata.org/entity/Q108041764,Sarah Tiboni,1975,female,Italy,Europe,
4664,http://www.wikidata.org/entity/Q95136150,Karel Turecký,1889,male,Czechoslovakia,Europe,
4665,http://www.wikidata.org/entity/Q28650141,Manuel Nieto Cumplido,1935,male,Spain,Europe,
4666,http://www.wikidata.org/entity/Q6540991,Miklós Szabó,1932,male,Romania,Europe,
4667,http://www.wikidata.org/entity/Q43878362,Elizabeth Sarah Kite,1864,female,United States,North America,
