uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q11828899,Przemysław Dąbkowski,1877,education,http://www.wikidata.org/entity/Q9379652,Law Faculty of Lviv University,1,faculty of law,1851-1880,['faculty of law']
http://www.wikidata.org/entity/Q11828899,Przemysław Dąbkowski,1877,membership,http://www.wikidata.org/entity/Q2991053,Shevchenko Scientific Society,2,learned society | scientific society,1851-1880,"['learned society', 'scientific society']"
http://www.wikidata.org/entity/Q118388364,Nathan Mwakhosi Mnjama,1951,employment,http://www.wikidata.org/entity/Q493141,University of Botswana,1,university,1941-1970,['university']
http://www.wikidata.org/entity/Q118388364,Nathan Mwakhosi Mnjama,1951,education,http://www.wikidata.org/entity/Q193196,University College London,4,academic institution | educational organization | higher education institution | university college,1941-1970,"['academic institution', 'educational organization', 'higher education institution', 'university college']"
http://www.wikidata.org/entity/Q118388364,Nathan Mwakhosi Mnjama,1951,education,http://www.wikidata.org/entity/Q649998,University of Nairobi,1,public university,1941-1970,['public university']
http://www.wikidata.org/entity/Q118421969,Goulven Le Brech,1977,employment,http://www.wikidata.org/entity/Q273518,School for Advanced Studies in the Social Sciences,2,public university | research institute,1971-2000,"['public university', 'research institute']"
http://www.wikidata.org/entity/Q118572835,Pierre-Henri Colombon,1851,membership,http://www.wikidata.org/entity/Q119439003,Q119439003,1,cultural association,1851-1880,['cultural association']
http://www.wikidata.org/entity/Q118572835,Pierre-Henri Colombon,1851,membership,http://www.wikidata.org/entity/Q119518040,Amistanço dei troubaire marsihés,2,cultural association | organization,1851-1880,"['cultural association', 'organization']"
http://www.wikidata.org/entity/Q118572835,Pierre-Henri Colombon,1851,membership,http://www.wikidata.org/entity/Q1165363,Félibrige,3,cultural association | learned society | literary movement,1851-1880,"['cultural association', 'learned society', 'literary movement']"
http://www.wikidata.org/entity/Q118733191,Beata Sylwia Górczyńska-Szmytkowska,1968,education,http://www.wikidata.org/entity/Q175529,John Paul II Catholic University of Lublin,2,catholic university | university,1941-1970,"['catholic university', 'university']"
http://www.wikidata.org/entity/Q118733191,Beata Sylwia Górczyńska-Szmytkowska,1968,education,http://www.wikidata.org/entity/Q1758009,University of Gdańsk,2,open-access publisher | university,1941-1970,"['open-access publisher', 'university']"
http://www.wikidata.org/entity/Q118733191,Beata Sylwia Górczyńska-Szmytkowska,1968,education,http://www.wikidata.org/entity/Q9295824,Defenders of Westerplatte High School in Gdańsk,1,general education liceum,1941-1970,['general education liceum']
http://www.wikidata.org/entity/Q118733191,Beata Sylwia Górczyńska-Szmytkowska,1968,employment,http://www.wikidata.org/entity/Q30905830,State Archives in Gdańsk,1,state archives,1941-1970,['state archives']
http://www.wikidata.org/entity/Q118745671,Götz Krusemarck,1906,education,http://www.wikidata.org/entity/Q2109311,Q2109311,1,educational institution,1881-1910,['educational institution']
http://www.wikidata.org/entity/Q118745671,Götz Krusemarck,1906,education,http://www.wikidata.org/entity/Q156737,Kiel University,3,comprehensive university | local internet registry | public university,1881-1910,"['comprehensive university', 'local internet registry', 'public university']"
http://www.wikidata.org/entity/Q118783026,Maurice Massip,1852,membership,http://www.wikidata.org/entity/Q2822390,"Académie des sciences, inscriptions et belles-lettres de Toulouse",1,learned society,1851-1880,['learned society']
http://www.wikidata.org/entity/Q11878453,Emanuel Mandler,1932,education,http://www.wikidata.org/entity/Q31519,Charles University,5,czech research institution | organization | public university | publishing company | university,1911-1940,"['czech research institution', 'organization', 'public university', 'publishing company', 'university']"
http://www.wikidata.org/entity/Q11878453,Emanuel Mandler,1932,education,http://www.wikidata.org/entity/Q3563550,"Faculty of Arts, Charles University in Prague",3,faculty | open-access publisher | publishing company,1911-1940,"['faculty', 'open-access publisher', 'publishing company']"
http://www.wikidata.org/entity/Q11878541,Emil Axman,1887,education,http://www.wikidata.org/entity/Q12047389,"Faculty of Law, Charles University in Prague",3,faculty | faculty of law | research institute,1881-1910,"['faculty', 'faculty of law', 'research institute']"
http://www.wikidata.org/entity/Q11878541,Emil Axman,1887,education,http://www.wikidata.org/entity/Q31519,Charles University,5,czech research institution | organization | public university | publishing company | university,1881-1910,"['czech research institution', 'organization', 'public university', 'publishing company', 'university']"
http://www.wikidata.org/entity/Q11878541,Emil Axman,1887,education,http://www.wikidata.org/entity/Q3563550,"Faculty of Arts, Charles University in Prague",3,faculty | open-access publisher | publishing company,1881-1910,"['faculty', 'open-access publisher', 'publishing company']"
http://www.wikidata.org/entity/Q11878541,Emil Axman,1887,membership,http://www.wikidata.org/entity/Q1648961,Czech Academy of Science and Art,2,academy of sciences | publishing company,1881-1910,"['academy of sciences', 'publishing company']"
